Date,LastDay,Total,BaseDepth,Latitude,Longitude,Resort,Datetime,Weekday,Month,Day,Hour,Minute,SeasonalSum,Colors
2012-12-29,3,1153,122,43.4799,-110.7624,jackson hole,2012-12-29,Saturday,December,29,0,0,429,"rgb(66,146,198)"
2015-03-04,3,454,66,43.4799,-110.7624,jackson hole,2015-03-04,Wednesday,March,4,0,0,1137,"rgb(66,146,198)"
2015-03-03,13,451,66,43.4799,-110.7624,jackson hole,2015-03-03,Tuesday,March,3,0,0,1134,"rgb(66,146,198)"
2015-02-28,13,438,64,43.4799,-110.7624,jackson hole,2015-02-28,Saturday,February,28,0,0,1121,"rgb(66,146,198)"
2015-02-25,5,425,61,43.4799,-110.7624,jackson hole,2015-02-25,Wednesday,February,25,0,0,1108,"rgb(66,146,198)"
2015-02-22,3,420,61,43.4799,-110.7624,jackson hole,2015-02-22,Sunday,February,22,0,0,1103,"rgb(66,146,198)"
2015-02-21,15,417,61,43.4799,-110.7624,jackson hole,2015-02-21,Saturday,February,21,0,0,1100,"rgb(66,146,198)"
2015-02-20,18,402,58,43.4799,-110.7624,jackson hole,2015-02-20,Friday,February,20,0,0,1085,"rgb(66,146,198)"
2015-03-12,3,457,58,43.4799,-110.7624,jackson hole,2015-03-12,Thursday,March,12,0,0,1140,"rgb(66,146,198)"
2015-02-15,3,384,61,43.4799,-110.7624,jackson hole,2015-02-15,Sunday,February,15,0,0,1067,"rgb(66,146,198)"
2015-02-13,3,378,61,43.4799,-110.7624,jackson hole,2015-02-13,Friday,February,13,0,0,1061,"rgb(66,146,198)"
2015-02-11,3,375,64,43.4799,-110.7624,jackson hole,2015-02-11,Wednesday,February,11,0,0,1058,"rgb(66,146,198)"
2015-02-10,15,372,66,43.4799,-110.7624,jackson hole,2015-02-10,Tuesday,February,10,0,0,1055,"rgb(66,146,198)"
2015-02-08,8,357,69,43.4799,-110.7624,jackson hole,2015-02-08,Sunday,February,8,0,0,1040,"rgb(66,146,198)"
2015-02-05,13,349,89,43.4799,-110.7624,jackson hole,2015-02-05,Thursday,February,5,0,0,1032,"rgb(66,146,198)"
2015-02-04,36,336,84,43.4799,-110.7624,jackson hole,2015-02-04,Wednesday,February,4,0,0,1019,"rgb(66,146,198)"
2015-02-03,15,300,74,43.4799,-110.7624,jackson hole,2015-02-03,Tuesday,February,3,0,0,983,"rgb(66,146,198)"
2015-02-14,3,381,61,43.4799,-110.7624,jackson hole,2015-02-14,Saturday,February,14,0,0,1064,"rgb(66,146,198)"
2015-03-13,3,460,56,43.4799,-110.7624,jackson hole,2015-03-13,Friday,March,13,0,0,1143,"rgb(66,146,198)"
2015-03-18,3,463,43,43.4799,-110.7624,jackson hole,2015-03-18,Wednesday,March,18,0,0,1146,"rgb(66,146,198)"
2015-03-24,5,468,25,43.4799,-110.7624,jackson hole,2015-03-24,Tuesday,March,24,0,0,1151,"rgb(66,146,198)"
2011-03-15,13,545,244,43.4799,-110.7624,jackson hole,2011-03-15,Tuesday,March,15,0,0,1100,"rgb(66,146,198)"
2011-03-16,10,555,246,43.4799,-110.7624,jackson hole,2011-03-16,Wednesday,March,16,0,0,1110,"rgb(66,146,198)"
2011-03-17,43,598,272,43.4799,-110.7624,jackson hole,2011-03-17,Thursday,March,17,0,0,1153,"rgb(66,146,198)"
2011-03-20,8,606,259,43.4799,-110.7624,jackson hole,2011-03-20,Sunday,March,20,0,0,1161,"rgb(66,146,198)"
2011-03-21,15,621,264,43.4799,-110.7624,jackson hole,2011-03-21,Monday,March,21,0,0,1176,"rgb(66,146,198)"
2011-03-22,15,636,267,43.4799,-110.7624,jackson hole,2011-03-22,Tuesday,March,22,0,0,1191,"rgb(66,146,198)"
2011-03-23,56,692,302,43.4799,-110.7624,jackson hole,2011-03-23,Wednesday,March,23,0,0,1247,"rgb(66,146,198)"
